Name,Description,Website
1confirmation,Supporting teams fueling the decentralization of the web and society,https://www.1confirmation.com
1kx,Early-stage token fund,1kx.network
8Decimal Capital,Multi-strategy investment firm focusing on both token and equity investments,http://8dcapital.com
21 Capital,Investment firm dedicated to the active dynamic management of blockchain digital assets,https://21-capital.com
21M Capital,Investment and advisory firm focused on startups developing blockchain technology and digital assets ,https://21mcapital.com
100&100 Venture Capital,"Venture Capital is an investment firm focused exclusively on venture projects about the blockchain tech, cryptocurrency and related assets",http://100and100capital.com
256 Capital,Digital Asset Investment Firm with multiple Funds,https://www.256.capital
A Capital,"VC that supports projects with capital, talent & future funding rounds",https://acapital.com
Accomplice,Seed-led tech-focused venture capital firm that embraces risk,https://accomplice.co
Alameda Research,Quantitative trading firm,https://www.alameda-research.com
Alphabit Fund,Alphabit specializes in investments in blockchain and distributed ledger technology projects.  We offer a wide range of advisory services and act as the Investment Advisor to the Alphabit Fund; one of the world’s first regulated digital asset investment funds,https://www.alphabit.fund
Andreessen Horowitz,"Venture capital firm in Silicon Valley, California, that backs bold entrepreneurs building the future through technology",https://a16z.com
Anmi Group,Venture capital cooperation organization focusing on investing in blockchain technology-related companies,https://anmi.group
Arca,"Arca investment management firm specializes in Hedge Funds, blockchain companies, cryptocurrency investments and other digital assets",https://www.ar.ca
Arrington XRP Capital,Digital asset management firm in blockchain-based capital markets,http://arringtonxrpcapital.com
Ausum Ventures,Venture fund focused on the intersection of blockchain technology and social impact,https://www.ausum.vc
Binance Labs,Binance Labs invests in technical teams that build and support the decentralized web,https://labs.binance.com
BlockAsset Ventures,Investing in portfolio of leading digital assets with partners,http://blockasset.ventures
Blockchain Capital,"Venture firm in the blockchain industry with investments in companies and protocols in the sector, across different stages, geographies and asset types",https://blockchain.capital
Blockchain.com,Blockchain Ventures is a venture capital fund and a subsidiary of Blockchain.com,https://www.blockchain.com/de/ventures
Blockchange VC,Blockchain venture fund,https://blockchange.vc
Blockrocket,Early-stage investor and digital accelerator for blockchain startups in Germany,https://www.blockrocket.io
BlockTower Capital,Crypto asset investment firm and portfolio manager,https://www.blocktower.com
BlockVC,Crypto asset investment firm,https://www.blockvc.com
Blockwall,German Blockchain Venture Capital Fund,https://www.blockwall.capital
BlueYard Capital,"BlueYard invests in founders with transforming ideas that decentralize markets, empower users & liberate data",https://blueyard.com
Bollinger,"Investment in blockchain protocols, the companies building on them, and the infrastructure that supports them.",https://www.bollinger.xyz
Boost VC,Investment of $500k for 15% in 20 companies a year through an Accelerator Program,https://www.boost.vc
Borderless Capital,Financial institution that accelerates the Algorand ecosystem,https://borderlesscapital.io
BR Capital,Proprietary multi-strategy algorithmic trading with steady incomes and mostly delta neutral. Venture capital investments in companies,https://br.capital
